Text,attack_type,Label,type
"-7531') union all select 3072,3072,3072,3072,3072,3072,3072--",sqli,1,sql
5973549282567233,norm,0,normal
"calle san roque, 84,",norm,0,normal
"-2602' union all select 5715,5715,5715,5715,5715,5715,5715,5715,5715--",sqli,1,sql
ozmond-woolgar@adscrito.tj,norm,0,normal
bayliss,norm,0,normal
1%')) union all select null#,sqli,1,sql
registrar,norm,0,normal
"1"") and 6414=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and (""rvub"" like ""rvub",sqli,1,sql
6708008477094577,norm,0,normal
polanco,norm,0,normal
calle la rambla s/n 4?d,norm,0,normal
5032561795933103,norm,0,normal
6apit1,norm,0,normal
05212,norm,0,normal
"paratge palmira, 112, 5-b",norm,0,normal
"1%'))) and elt(7425=3843,3843) and ((('%'='",sqli,1,normal
c/ paralela al c/jon quebradizo 36,norm,0,normal
ji1a,norm,0,normal
1' and 9970=3409,sqli,1,normal
alcarrs,norm,0,normal
henriquez femenias,norm,0,normal
lovegrov,norm,0,normal
3572857528910134,norm,0,normal
"1;select benchmark(5000000,md5(0x4c4d6142))",sqli,1,sql
"1' and (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(3484=3484,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and 'tmwy'='tmwy",sqli,1,sql
damacia,norm,0,normal
"1%';select * from generate_series(4592,4592,case when (4592=4592) then 1 else 0 end) limit 1--",sqli,1,sql
15807509t,norm,0,normal
baquerizo amatll,norm,0,normal
"1"") and elt(1889=7397,7397) and (""kuau""=""kuau",sqli,1,normal
cossovel-heintel@camiones-hibridos.ec,norm,0,normal
manumiti6,norm,0,normal
vila kusanovic,norm,0,normal
<img+src=x+onerror=prompt(1);>,xss,2,xss
"1%')) union all select null,null,null,null,null,null#",sqli,1,sql
"<crosssitescripting style=""crosssitescripting:expression(document.cookie=true)"">",xss,2,normal
5527948175762743,norm,0,normal
39590,norm,0,normal
13593,norm,0,normal
reencar!nacin,norm,0,normal
"pealara, 87",norm,0,normal
">""<img lowsrc=""javascript:document.cookie=true;"">",xss,2,xss
domenge canelas,norm,0,normal
macilento,norm,0,normal
"1"") where 2657=2657 and 5309=7592--",sqli,1,sql
"1"";select pg_sleep(5)--",sqli,1,sql
"1"")) as qejm where 9014=9014 union all select null,null,null,null,null,null#",sqli,1,sql
94409893e,norm,0,normal
